"Name","DistinguishedName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"LIP2-KLAD-WW-01","CN=LIP2-KLAD-WW-01,OU=Lipetsk2,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"IZH2-KLAD-COMP","CN=IZH2-KLAD-COMP,OU=Izhevsk2,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KRS2-KLAD-WW-01","CN=KRS2-KLAD-WW-01,OU=Kursk2,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"AZV1-KLAD-WW-01","CN=AZV1-KLAD-WW-01,OU=Azov1,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"RYA3-KLAD-COMP","CN=RYA3-KLAD-COMP,OU=Ryazan3,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KSD3-KLAD-WW-01","CN=KSD3-KLAD-WW-01,OU=Krasnodar3,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KSD1-KLAD-WW-01","CN=KSD1-KLAD-WW-01,OU=Krasnodar1,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NSB5-KLAD-WW-01","CN=NSB5-KLAD-WW-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"UFA2-KLAD-WW-01","CN=UFA2-KLAD-WW-01,OU=Ufa2,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"PNZ1-KLAD-COMP","CN=PNZ1-KLAD-COMP,OU=Penza1,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"ULK1-KLAD-WW-01","CN=ULK1-KLAD-WW-01,OU=Ulyanovsk1,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VLG1-KLAD-WW-01","CN=VLG1-KLAD-WW-01,OU=Vologda1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB8-KLAD-WW-01","CN=SPB8-KLAD-WW-01,OU=Saint_Peterburg8,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KAZ1-KLAD-WW-01","CN=KAZ1-KLAD-WW-01,OU=Kazan1,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"BRL1-KLAD-WW-01","CN=BRL1-KLAD-WW-01,OU=Barnaul1,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VOR1-KLAD-WW-01","CN=VOR1-KLAD-WW-01,OU=Voronezh1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TUM2-KLAD-WW-01","CN=TUM2-KLAD-WW-01,OU=Tumen2,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB5-KLAD-WW-01","CN=SPB5-KLAD-WW-01,OU=Saint_Peterburg5,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHEHOV-SKLAD-01","CN=CHEHOV-SKLAD-01,OU=Workstations,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"OMS1-KLAD-WW-01","CN=OMS1-KLAD-WW-01,OU=Omsk1,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"UFA4-KLAD-WW-01","CN=UFA4-KLAD-WW-01,OU=Ufa4,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TOL5-KLAD-WW-01","CN=TOL5-KLAD-WW-01,OU=Toljatti5,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TUM3-KLAD-WW-01","CN=TUM3-KLAD-WW-01,OU=Tumen3,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KSD4-KLAD-WW-01","CN=KSD4-KLAD-WW-01,OU=Krasnodar4,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ARM1-KLAD-WW-01","CN=ARM1-KLAD-WW-01,OU=Armavir1,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"IVN1-KLAD-WW-01","CN=IVN1-KLAD-WW-01,OU=Ivanovo1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SAR3-KLAD-WW-01","CN=SAR3-KLAD-WW-01,OU=Saratov3,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"PTG2-KLAD-WW-01","CN=PTG2-KLAD-WW-01,OU=Pyatigorsk2,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TUL2-KLAD-WW-01","CN=TUL2-KLAD-WW-01,OU=Tula2,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"EKB4-KLAD-WW-01","CN=EKB4-KLAD-WW-01,OU=Ekaterinburg4,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KEM1-KLAD-WW-01","CN=KEM1-KLAD-WW-01,OU=Kemerovo1,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"MGN1-KLAD-WW-01","CN=MGN1-KLAD-WW-01,OU=Magnitogorsk1,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"SP13-KLAD-WW-01","CN=SP13-KLAD-WW-01,OU=Saint_Peterburg13,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KAZ4-KLAD-WW-01","CN=KAZ4-KLAD-WW-01,OU=Kazan4,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"CHE3-KLAD-COMP","CN=CHE3-KLAD-COMP,OU=Chelyabinsk3,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NKZ2-KLAD-WW-01","CN=NKZ2-KLAD-WW-01,OU=Novokuznetsk2,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SML1-KLAD-WW-01","CN=SML1-KLAD-WW-01,OU=Smolensk1,OU=Moskva - 2,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VOR3-KLAD-WW-01","CN=VOR3-KLAD-WW-01,OU=Voronezh3,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"LIP2-DIR-WW-01","CN=LIP2-DIR-WW-01,OU=Lipetsk2,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NKM1-DIR-WW-01","CN=NKM1-DIR-WW-01,OU=Nizhnekamsk1,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ORS1-DIR-WW-01","CN=ORS1-DIR-WW-01,OU=Orsk1,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB7-DIR-WW-01","CN=SPB7-DIR-WW-01,OU=Saint_Peterburg7,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SCH1-DIR-WW-01","CN=SCH1-DIR-WW-01,OU=Sochi1,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KSD1-DIR-WW-01","CN=KSD1-DIR-WW-01,OU=Krasnodar1,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SP13-DIR-WW-01","CN=SP13-DIR-WW-01,OU=Saint_Peterburg13,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB2-DIR-WW-01","CN=SPB2-DIR-WW-01,OU=Saint_Peterburg2,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB6-DIR-WW-01","CN=SPB6-DIR-WW-01,OU=Saint_Peterburg6,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KRS2-DIR-WW-01","CN=KRS2-DIR-WW-01,OU=Kursk2,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SP11-DIR-WW-01","CN=SP11-DIR-WW-01,OU=Saint_Peterburg11,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 10 Корпоративная 2015 с долгосрочным обслуживанием",,"10.0 (10240)"
"SPB8-DIR-WW-01","CN=SPB8-DIR-WW-01,OU=Saint_Peterburg8,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SP10-DIR-WW-01","CN=SP10-DIR-WW-01,OU=Saint_Peterburg10,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"MOS2-DIR-WW-01","CN=MOS2-DIR-WW-01,OU=Moscow2,OU=Moskva - 2,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"IZH2-DIR-WW-01","CN=IZH2-DIR-WW-01,OU=Izhevsk2,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TOL5-DIR-WW-01","CN=TOL5-DIR-WW-01,OU=Toljatti5,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"nal1-dir-ww-01","CN=nal1-dir-ww-01,OU=Nalchik1,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NOV2-DIR-WW-01","CN=NOV2-DIR-WW-01,OU=Nizhniy_Novgorod2,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHB1-DIR-WW-01","CN=CHB1-DIR-WW-01,OU=Cheboksary1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"sam1-dir-ww-01","CN=sam1-dir-ww-01,OU=Samara1,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KAZ1-DIR-WW-01","CN=KAZ1-DIR-WW-01,OU=Kazan1,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"mgn2-dir-ww-01","CN=mgn2-dir-ww-01,OU=Magnitogorsk2,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"YAR2-DIR-WW-01","CN=YAR2-DIR-WW-01,OU=Yaroslavl2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"IVN2-DIR-WW-01","CN=IVN2-DIR-WW-01,OU=Ivanovo2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NSB2-DIR-WW-1","CN=NSB2-DIR-WW-1,OU=Novosibirsk2,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SAM5-DIR-WW-01","CN=SAM5-DIR-WW-01,OU=Samara5,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KIR1-DIR-WW-01","CN=KIR1-DIR-WW-01,OU=Kirov1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"AZV1-DIR-WW-01","CN=AZV1-DIR-WW-01,OU=Azov1,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KAZ4-DIR-WW-01","CN=KAZ4-DIR-WW-01,OU=Kazan4,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"MGN1-DIR-WW-01","CN=MGN1-DIR-WW-01,OU=Magnitogorsk1,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"PTG2-DIR-WW-01","CN=PTG2-DIR-WW-01,OU=Pyatigorsk2,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Корпоративная","Service Pack 1","6.1 (7601)"
"AST1-DIR-WW-01","CN=AST1-DIR-WW-01,OU=Astrakhan1,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"BRL1-DIR-WW-01","CN=BRL1-DIR-WW-01,OU=Barnaul1,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NEV1-DIR-WW-01","CN=NEV1-DIR-WW-01,OU=Nevinnomyssk1,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHR1-DIR-WW-01","CN=CHR1-DIR-WW-01,OU=Cherepovets1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VOR3-DIR-WW-01","CN=VOR3-DIR-WW-01,OU=Voronezh3,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHE3-DIR-WW-01","CN=CHE3-DIR-WW-01,OU=Chelyabinsk3,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TUL2-DIR-WW-01","CN=TUL2-DIR-WW-01,OU=Tula2,OU=Tsentr-1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"vng1-dir-ww-01","CN=vng1-dir-ww-01,OU=Velikiy_Novgorod1,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NSB5-DIR-WW-01","CN=NSB5-DIR-WW-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ROS2-DIR-WW-01","CN=ROS2-DIR-WW-01,OU=Rostov2,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"EKB4-DIR-WW-01","CN=EKB4-DIR-WW-01,OU=Ekaterinburg4,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ORB1-DIR-WW-01","CN=ORB1-DIR-WW-01,OU=Orenburg1,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"TUM3-DIR-WW-01","CN=TUM3-DIR-WW-01,OU=Tumen3,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KSD4-DIR-WW-01","CN=KSD4-DIR-WW-01,OU=Krasnodar4,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"STA2-DIR-WW-01","CN=STA2-DIR-WW-01,OU=Stavropol2,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KEM1-DIR-WW-01","CN=KEM1-DIR-WW-01,OU=Kemerovo1,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"stk1-dir-ww-01","CN=stk1-dir-ww-01,OU=Syktyvkar1,OU=Moskva - 1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"STA1-DIR-WW-01","CN=STA1-DIR-WW-01,OU=Stavropol1,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB9-DIR-WW-01","CN=SPB9-DIR-WW-01,OU=Saint_Petersburg9,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VLZ1-DIR-WW-01","CN=VLZ1-DIR-WW-01,OU=Volzhskiy1,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KSD3-DIR-WW-01","CN=KSD3-DIR-WW-01,OU=Krasnodar3,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"STT1-DIR-WW-01","CN=STT1-DIR-WW-01,OU=Sterlitamak1,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DZR1-DIR-WW-01","CN=DZR1-DIR-WW-01,OU=Dzerzhinsk1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SPB8-POS","CN=SPB8-POS,OU=Saint_Peterburg8,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"MOS1-DIR-WW-01","CN=MOS1-DIR-WW-01,OU=Moscow1,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SAR2-POS02","CN=SAR2-POS02,OU=Saratov2,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"tgn1-pos","CN=tgn1-pos,OU=Taganrog1,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"KSD4-POS","CN=KSD4-POS,OU=Krasnodar4,OU=Iug-1,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"TAM3-POS","CN=TAM3-POS,OU=Tambov3,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"MGN1-POS","CN=MGN1-POS,OU=Magnitogorsk1,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"NSB5-POS","CN=NSB5-POS,OU=Novosibirsk5,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"SPB7-POS","CN=SPB7-POS,OU=Saint_Peterburg7,OU=Sankt-Peterburg-1,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"per2-pos","CN=per2-pos,OU=Perm2,OU=Povolzhe-2,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"TAM2-POS","CN=TAM2-POS,OU=Tambov2,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"SP11-POS","CN=SP11-POS,OU=Saint_Peterburg11,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"ROS2-POS","CN=ROS2-POS,OU=Rostov2,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"YAR2-POS","CN=YAR2-POS,OU=Yaroslavl2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"ekb7-pos","CN=ekb7-pos,OU=Ekaterinburg7,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"MOS1-POS","CN=MOS1-POS,OU=Moscow1,OU=Closed,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"UFA3-POS","CN=UFA3-POS,OU=Ufa3,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"brl1-pos","CN=brl1-pos,OU=Barnaul1,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"TVR2-POS","CN=TVR2-POS,OU=Tver2,OU=Moskva - 1,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"SPB9-POS","CN=SPB9-POS,OU=Saint_Petersburg9,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2003","Service Pack 2","5.2 (3790)"
"NKZ2-POS","CN=NKZ2-POS,OU=Novokuznetsk2,OU=Sibir,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
