"Name","DistinguishedName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"CO-IT-WN-04","CN=CO-IT-WN-04,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"STT1-MED-WW-01","CN=STT1-MED-WW-01,OU=Sterlitamak1,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-02","CN=CO-COM-WN-02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-04","CN=CO-COM-WN-04,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"STANDBYSFR","CN=STANDBYSFR,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Linux",,
"LIP1-POS","CN=LIP1-POS,OU=Lipetsk1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-COM-WN-21","CN=CO-COM-WN-21,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-TEST-SRV16-2","CN=CO-TEST-SRV16-2,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2016 Standard",,"10.0 (14393)"
"DC-FPMC01","CN=DC-FPMC01,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Linux",,
"CO-COM-WW-12","CN=CO-COM-WW-12,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"OFFICE-POS","CN=OFFICE-POS,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-101","CN=CO-COM-WW-101,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-TEST-WIN7-64","CN=CO-TEST-WIN7-64,OU=Update_only,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-HD-TEST","CN=DC-HD-TEST,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-COM-WW-23","CN=CO-COM-WW-23,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-10","CN=CO-COM-WN-10,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"Ufa6-DIR-WW-01","CN=Ufa6-DIR-WW-01,OU=Ufa6,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"Ufa6-MED-WW-01","CN=Ufa6-MED-WW-01,OU=Ufa6,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"Ufa6-KLAD-WW-01","CN=Ufa6-KLAD-WW-01,OU=Ufa6,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"Ufa6-POS","CN=Ufa6-POS,OU=Ufa6,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"ROS1-MED-WW-01","CN=ROS1-MED-WW-01,OU=Rostov1,OU=Iug-2,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-04","CN=CO-IT-WW-04,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WN-07","CN=CO-HR-WN-07,OU=Computers_HR,OU=Human Resources,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-POS03","CN=DC-POS03,OU=POS,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"EKB2-POS","CN=EKB2-POS,OU=Ekaterinburg2,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-COM-WW-27","CN=CO-COM-WW-27,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-99","CN=CO-IT-WW-99,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-SP13-DW","CN=DC-SP13-DW,OU=Sharepoint servers,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"SAM5-MED-WW-01","CN=SAM5-MED-WW-01,OU=Samara5,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"IVN1-POS02","CN=IVN1-POS02,OU=Ivanovo1,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-COM-WW-28","CN=CO-COM-WW-28,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WN-13","CN=CO-HR-WN-13,OU=Computers_HR,OU=Human Resources,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-62","CN=CO-COM-WW-62,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-40","CN=CO-COM-WN-40,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"co-it-ww-06","CN=co-it-ww-06,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local",,,
